invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin
52,WALM093,Angleton,Food and beverages,$44.59,5,10/02/19,15:10:00,Cash,8.5,0.33
53,WALM041,Mission,Fashion accessories,$17.87,4,22/03/19,14:42:00,Ewallet,6.5,0.48
54,WALM045,Missouri City,Fashion accessories,$15.43,1,25/01/19,15:46:00,Credit card,6.1,0.48
55,WALM005,Fort Worth,Home and lifestyle,$16.16,2,07/03/19,11:49:00,Ewallet,6.5,0.48
56,WALM042,Bryan,Electronic accessories,$85.98,8,28/02/19,19:01:00,Cash,8.2,0.48
57,WALM003,San Antonio,Home and lifestyle,$44.34,2,27/03/19,11:26:00,Cash,5.8,0.36
58,WALM070,Hurst,Health and beauty,$89.6,8,07/02/19,11:28:00,Ewallet,6.6,0.33
59,WALM066,Grapevine,Home and lifestyle,$72.35,10,20/01/19,15:55:00,Cash,5.4,0.33
60,WALM031,Lewisville,Electronic accessories,$30.61,6,12/03/19,20:36:00,Cash,9.3,0.48
61,WALM042,Bryan,Sports and travel,$24.74,3,15/02/19,17:47:00,Credit card,10,0.48
62,WALM078,Del Rio,Home and lifestyle,$55.73,6,24/02/19,10:55:00,Ewallet,7,0.33
63,WALM037,League City,Sports and travel,$55.07,9,03/02/19,13:40:00,Ewallet,10,0.48
64,WALM069,Rockwall,Sports and travel,$15.81,10,06/03/19,12:27:00,Credit card,8.6,0.33
65,WALM087,Waxahachie,Health and beauty,$75.74,4,14/02/19,14:35:00,Cash,7.6,0.33
66,WALM042,Bryan,Health and beauty,$15.87,10,13/03/19,16:40:00,Cash,5.8,0.48
67,WALM020,Killeen,Health and beauty,$33.47,2,10/02/19,15:43:00,Ewallet,6.7,0.48
68,WALM029,Round Rock,Fashion accessories,$97.61,6,07/01/19,15:01:00,Ewallet,9.9,0.48
69,WALM079,La Porte,Sports and travel,$78.77,10,24/01/19,10:04:00,Cash,6.4,0.33
70,WALM035,San Angelo,Health and beauty,$18.33,1,02/02/19,18:50:00,Cash,4.3,0.48
71,WALM007,Arlington,Food and beverages,$89.48,10,06/01/19,12:46:00,Credit card,9.6,0.48
72,WALM017,McKinney,Fashion accessories,$62.12,10,11/02/19,16:19:00,Cash,5.9,0.48
73,WALM096,Eagle Pass,Food and beverages,$48.52,3,05/03/19,18:17:00,Ewallet,4,0.18
74,WALM083,Farmers Branch,Electronic accessories,$75.91,6,09/03/19,18:21:00,Cash,8.7,0.33
75,WALM072,Lancaster,Home and lifestyle,$74.67,9,22/01/19,10:55:00,Ewallet,9.4,0.33
76,WALM003,San Antonio,Electronic accessories,$41.65,10,13/01/19,17:04:00,Credit card,5.4,0.48
77,WALM058,Port Arthur,Fashion accessories,$49.04,9,09/01/19,14:20:00,Credit card,8.6,0.33
78,WALM094,Alamo,Fashion accessories,$20.01,9,12/01/19,15:48:00,Credit card,5.7,0.33
79,WALM063,Georgetown,Food and beverages,$78.31,10,05/03/19,16:24:00,Ewallet,6.6,0.33
80,WALM071,Lufkin,Health and beauty,$20.38,5,22/01/19,18:56:00,Cash,6,0.33
81,WALM061,Cedar Park,Health and beauty,$99.19,6,21/01/19,14:42:00,Credit card,5.5,0.33
82,WALM090,Brownwood,Food and beverages,$96.68,3,26/01/19,19:56:00,Ewallet,6.4,0.33
83,WALM061,Cedar Park,Food and beverages,$19.25,8,23/01/19,18:37:00,Ewallet,6.6,0.33
84,WALM041,Mission,Food and beverages,$80.36,4,23/02/19,18:45:00,Ewallet,8.3,0.48
85,WALM097,Alice,Sports and travel,$48.91,5,09/03/19,10:17:00,Cash,6.6,0.18
86,WALM043,Baytown,Sports and travel,$83.06,7,05/03/19,14:31:00,Ewallet,4,0.48
87,WALM042,Bryan,Fashion accessories,$76.52,5,25/03/19,10:23:00,Cash,9.9,0.48
88,WALM046,Temple,Food and beverages,$49.38,7,27/03/19,20:35:00,Credit card,7.3,0.48
89,WALM011,Lubbock,Sports and travel,$42.47,1,02/01/19,16:57:00,Cash,5.7,0.48
90,WALM064,Bedford,Health and beauty,$76.99,6,27/02/19,17:55:00,Cash,6.1,0.33
91,WALM095,Big Spring,Home and lifestyle,$47.38,4,23/01/19,10:25:00,Cash,7.1,0.33
92,WALM049,North Richland Hills,Sports and travel,$44.86,10,26/01/19,19:54:00,Ewallet,8.2,0.48
93,WALM040,Edinburg,Sports and travel,$21.98,7,10/01/19,16:42:00,Ewallet,5.1,0.48
94,WALM065,Texas City,Health and beauty,$64.36,9,12/03/19,12:09:00,Credit card,8.6,0.33
95,WALM075,San Marcos,Health and beauty,$89.75,1,06/02/19,20:05:00,Credit card,6.6,0.33
96,WALM034,College Station,Electronic accessories,$97.16,1,08/03/19,20:38:00,Ewallet,7.2,0.48
97,WALM014,Amarillo,Health and beauty,$87.87,10,29/03/19,10:25:00,Ewallet,5.1,0.48
98,WALM096,Eagle Pass,Electronic accessories,$12.45,6,09/02/19,13:11:00,Cash,4.1,0.18
99,WALM004,Austin,Food and beverages,$52.75,3,23/03/19,10:16:00,Ewallet,9.3,0.48
100,WALM011,Lubbock,Home and lifestyle,$82.7,6,05/03/19,18:14:00,Cash,7.4,0.48
101,WALM075,San Marcos,Fashion accessories,$48.71,1,26/03/19,19:20:00,Cash,4.1,0.33
102,WALM057,Euless,Fashion accessories,$78.55,9,01/03/19,13:22:00,Cash,7.2,0.33
103,WALM023,Midland,Electronic accessories,$23.07,9,01/02/19,11:27:00,Cash,4.9,0.48
104,WALM012,Garland,Food and beverages,$58.26,6,28/03/19,16:44:00,Cash,9.9,0.48
105,WALM078,Del Rio,Health and beauty,$30.35,7,19/03/19,18:19:00,Cash,8,0.33
106,WALM055,Waxahachie,Electronic accessories,$88.67,10,12/01/19,14:50:00,Ewallet,7.3,0.33
107,WALM038,Sugar Land,Fashion accessories,$27.38,6,05/01/19,20:54:00,Credit card,7.9,0.48
108,WALM049,North Richland Hills,Sports and travel,$62.13,6,22/03/19,20:19:00,Cash,7.4,0.48
109,WALM044,Pharr,Food and beverages,$33.98,9,24/03/19,10:43:00,Cash,4.2,0.48
110,WALM056,Rowlett,Electronic accessories,$81.97,10,03/03/19,14:30:00,Cash,9.2,0.33
111,WALM007,Arlington,Sports and travel,$16.49,2,05/02/19,11:32:00,Ewallet,4.6,0.48
112,WALM025,Waco,Health and beauty,$98.21,3,05/02/19,10:41:00,Credit card,7.8,0.48
113,WALM005,Fort Worth,Fashion accessories,$72.84,7,15/02/19,12:44:00,Cash,8.4,0.48
114,WALM024,Carrollton,Home and lifestyle,$58.07,9,19/01/19,20:07:00,Ewallet,4.3,0.48
115,WALM003,San Antonio,Home and lifestyle,$80.79,9,01/02/19,20:31:00,Credit card,9.5,0.36
116,WALM087,Waxahachie,Fashion accessories,$27.02,3,02/03/19,13:01:00,Credit card,7.1,0.33
117,WALM040,Edinburg,Fashion accessories,$21.94,5,05/03/19,12:29:00,Ewallet,5.3,0.48
118,WALM071,Lufkin,Fashion accessories,$51.36,1,16/01/19,15:26:00,Ewallet,5.2,0.33
119,WALM027,Abilene,Food and beverages,$10.96,10,02/02/19,20:48:00,Ewallet,6,0.48
120,WALM071,Lufkin,Home and lifestyle,$53.44,2,20/01/19,20:38:00,Ewallet,4.1,0.33
121,WALM014,Amarillo,Electronic accessories,$99.56,8,14/02/19,17:03:00,Credit card,5.2,0.48
122,WALM069,Rockwall,Sports and travel,$57.12,7,12/01/19,12:02:00,Credit card,6.5,0.33
123,WALM085,Kerrville,Sports and travel,$99.96,9,09/03/19,17:26:00,Credit card,4.2,0.33
124,WALM061,Cedar Park,Home and lifestyle,$63.91,8,13/03/19,19:52:00,Credit card,4.6,0.33
125,WALM088,Cleburne,Fashion accessories,$56.47,8,09/03/19,14:57:00,Ewallet,7.3,0.33
126,WALM034,College Station,Home and lifestyle,$93.69,7,10/03/19,18:44:00,Credit card,4.5,0.48
127,WALM016,Brownsville,Sports and travel,$32.25,5,27/01/19,13:26:00,Cash,9,0.48
128,WALM044,Pharr,Fashion accessories,$31.73,9,08/01/19,16:17:00,Credit card,5.9,0.48
129,WALM035,San Angelo,Food and beverages,$68.54,8,08/01/19,15:57:00,Ewallet,8.5,0.48
130,WALM018,Frisco,Sports and travel,$90.28,9,08/02/19,11:15:00,Ewallet,7.2,0.48
131,WALM022,Mesquite,Fashion accessories,$39.62,7,25/01/19,13:18:00,Cash,7.5,0.48
132,WALM068,Burleson,Sports and travel,$92.13,6,06/03/19,20:34:00,Cash,8.3,0.33
133,WALM055,Waxahachie,Sports and travel,$34.84,4,10/02/19,18:36:00,Cash,7.4,0.33
134,WALM002,Dallas,Electronic accessories,$87.45,6,17/02/19,14:40:00,Credit card,8.8,0.36
135,WALM062,Galveston,Health and beauty,$81.3,6,08/03/19,16:43:00,Ewallet,5.3,0.33
136,WALM098,Mineral Wells,Fashion accessories,$90.22,3,18/02/19,19:39:00,Cash,6.2,0.18
137,WALM027,Abilene,Electronic accessories,$26.31,5,18/01/19,20:59:00,Credit card,8.8,0.48
138,WALM093,Angleton,Home and lifestyle,$34.42,6,18/02/19,15:39:00,Cash,9.8,0.33
139,WALM029,Round Rock,Sports and travel,$51.91,10,16/02/19,12:21:00,Cash,8.2,0.48
140,WALM016,Brownsville,Sports and travel,$72.5,8,16/03/19,19:25:00,Ewallet,9.2,0.48
141,WALM023,Midland,Sports and travel,$89.8,10,23/01/19,13:00:00,Credit card,5.4,0.48
142,WALM012,Garland,Health and beauty,$90.5,10,25/01/19,13:48:00,Cash,8.1,0.48
143,WALM052,Mansfield,Health and beauty,$68.6,10,05/02/19,19:57:00,Cash,9.1,0.57
144,WALM097,Alice,Food and beverages,$30.41,1,22/02/19,10:36:00,Credit card,8.4,0.18
145,WALM045,Missouri City,Home and lifestyle,$77.95,6,21/01/19,16:37:00,Credit card,8,0.48
146,WALM047,Flower Mound,Health and beauty,$46.26,6,08/03/19,17:11:00,Credit card,9.5,0.48
147,WALM026,Denton,Fashion accessories,$30.14,10,10/02/19,12:28:00,Ewallet,9.2,0.48
148,WALM054,Sherman,Health and beauty,$66.14,4,19/03/19,12:46:00,Credit card,5.6,0.21
149,WALM049,North Richland Hills,Home and lifestyle,$71.86,8,06/03/19,15:07:00,Credit card,6.2,0.48
150,WALM065,Texas City,Health and beauty,$32.46,8,27/03/19,13:48:00,Credit card,4.9,0.33
151,WALM016,Brownsville,Fashion accessories,$91.54,4,23/03/19,19:20:00,Credit card,4.8,0.48
152,WALM070,Hurst,Sports and travel,$34.56,7,11/03/19,16:07:00,Credit card,7.3,0.33
153,WALM099,Weatherford,Fashion accessories,$83.24,9,29/01/19,11:56:00,Credit card,7.4,0.18
154,WALM071,Lufkin,Food and beverages,$16.48,6,07/02/19,18:23:00,Ewallet,9.9,0.33
155,WALM078,Del Rio,Sports and travel,$80.97,8,28/01/19,13:05:00,Cash,9.3,0.33
156,WALM074,Weslaco,Food and beverages,$92.29,5,20/02/19,15:55:00,Cash,9,0.33
157,WALM042,Bryan,Electronic accessories,$72.17,1,04/01/19,19:40:00,Cash,6.1,0.48
158,WALM013,Irving,Home and lifestyle,$50.28,5,07/03/19,13:58:00,Ewallet,9.7,0.48
159,WALM100,Canyon,Health and beauty,$97.22,9,30/03/19,14:43:00,Ewallet,6,0.18
160,WALM094,Alamo,Sports and travel,$93.39,6,27/03/19,19:18:00,Ewallet,10,0.33
161,WALM028,Odessa,Food and beverages,$43.18,8,19/01/19,19:39:00,Credit card,8.3,0.48
162,WALM019,Pasadena,Sports and travel,$63.69,1,25/02/19,16:21:00,Cash,6,0.48
163,WALM011,Lubbock,Food and beverages,$45.79,7,13/03/19,19:44:00,Credit card,7,0.48
164,WALM084,Schertz,Sports and travel,$76.4,2,30/01/19,19:42:00,Ewallet,6.5,0.33
165,WALM057,Euless,Food and beverages,$39.9,10,20/02/19,15:24:00,Credit card,5.9,0.33
166,WALM088,Cleburne,Health and beauty,$42.57,8,25/02/19,14:12:00,Ewallet,5.6,0.33
167,WALM061,Cedar Park,Home and lifestyle,$95.58,10,16/01/19,13:32:00,Cash,4.8,0.33
168,WALM040,Edinburg,Fashion accessories,$98.98,10,08/02/19,16:20:00,Credit card,8.7,0.48
169,WALM069,Rockwall,Food and beverages,$51.28,6,19/01/19,16:31:00,Cash,6.5,0.33
170,WALM089,Southlake,Sports and travel,$69.52,7,01/02/19,15:10:00,Credit card,8.5,0.33
171,WALM031,Lewisville,Health and beauty,$70.01,5,03/01/19,11:36:00,Ewallet,5.5,0.48
172,WALM039,Longview,Food and beverages,$80.05,5,26/01/19,12:45:00,Credit card,9.4,0.48
173,WALM039,Longview,Electronic accessories,$20.85,8,03/03/19,19:17:00,Cash,6.3,0.48
174,WALM047,Flower Mound,Electronic accessories,$52.89,6,19/01/19,17:34:00,Credit card,9.8,0.48
175,WALM071,Lufkin,Food and beverages,$19.79,8,18/01/19,12:04:00,Ewallet,8.7,0.33
176,WALM060,DeSoto,Home and lifestyle,$33.84,9,21/03/19,16:21:00,Ewallet,8.8,0.33
177,WALM073,Seguin,Food and beverages,$22.17,8,03/03/19,17:01:00,Credit card,9.6,0.33
178,WALM059,Pflugerville,Fashion accessories,$22.51,7,13/02/19,10:50:00,Credit card,4.8,0.33
179,WALM012,Garland,Food and beverages,$73.88,6,23/03/19,19:16:00,Ewallet,4.4,0.48
180,WALM086,Rosenberg,Health and beauty,$86.8,3,28/01/19,16:47:00,Ewallet,9.9,0.33
181,WALM073,Seguin,Fashion accessories,$64.26,7,09/02/19,10:00:00,Cash,5.7,0.33
182,WALM028,Odessa,Food and beverages,$38.47,8,23/01/19,11:51:00,Cash,7.7,0.48
183,WALM053,Conroe,Sports and travel,$15.5,10,23/03/19,10:55:00,Ewallet,8,0.57
184,WALM024,Carrollton,Health and beauty,$34.31,8,25/01/19,15:00:00,Ewallet,5.7,0.48
185,WALM097,Alice,Sports and travel,$12.34,7,04/03/19,11:19:00,Credit card,6.7,0.18
186,WALM072,Lancaster,Food and beverages,$18.08,3,05/03/19,19:46:00,Ewallet,8,0.33
187,WALM023,Midland,Home and lifestyle,$94.49,8,03/03/19,19:00:00,Ewallet,7.5,0.48
188,WALM038,Sugar Land,Home and lifestyle,$46.47,4,08/02/19,10:53:00,Cash,7,0.48
189,WALM078,Del Rio,Home and lifestyle,$74.07,1,10/02/19,12:50:00,Ewallet,9.9,0.33
190,WALM084,Schertz,Home and lifestyle,$69.81,4,28/01/19,20:50:00,Credit card,5.9,0.33
191,WALM059,Pflugerville,Home and lifestyle,$77.04,3,11/02/19,10:39:00,Credit card,7.2,0.33
192,WALM062,Galveston,Fashion accessories,$73.52,2,15/01/19,13:41:00,Ewallet,4.6,0.33
193,WALM090,Brownwood,Food and beverages,$87.8,9,16/03/19,19:08:00,Cash,9.2,0.33
194,WALM015,Grand Prairie,Home and lifestyle,$25.55,4,26/01/19,20:23:00,Ewallet,5.7,0.48
195,WALM003,San Antonio,Electronic accessories,$32.71,5,19/03/19,11:30:00,Credit card,9.9,0.48
196,WALM066,Grapevine,Fashion accessories,$74.29,1,13/01/19,19:30:00,Cash,5,0.33
197,WALM079,La Porte,Health and beauty,$43.7,2,26/03/19,18:03:00,Cash,4.9,0.33
198,WALM002,Dallas,Home and lifestyle,$25.29,1,23/03/19,10:13:00,Ewallet,6.1,0.36
199,WALM094,Alamo,Health and beauty,$41.5,4,12/03/19,19:58:00,Credit card,8.2,0.33
200,WALM047,Flower Mound,Food and beverages,$71.39,5,17/02/19,19:57:00,Credit card,5.5,0.48
201,WALM100,Canyon,Sports and travel,$19.15,6,29/01/19,10:01:00,Credit card,6.8,0.18
202,WALM005,Fort Worth,Electronic accessories,$57.49,4,15/03/19,11:57:00,Cash,6.6,0.48
203,WALM086,Rosenberg,Electronic accessories,$61.41,7,14/01/19,10:02:00,Cash,9.8,0.33
204,WALM029,Round Rock,Health and beauty,$25.9,10,06/02/19,14:51:00,Ewallet,8.7,0.48
205,WALM065,Texas City,Home and lifestyle,$17.77,5,15/02/19,12:42:00,Credit card,5.4,0.33
206,WALM085,Kerrville,Health and beauty,$23.03,9,03/01/19,12:02:00,Ewallet,7.9,0.33
207,WALM034,College Station,Electronic accessories,$66.65,9,04/01/19,18:19:00,Credit card,9.7,0.48
208,WALM055,Waxahachie,Home and lifestyle,$28.53,10,18/03/19,17:38:00,Ewallet,7.8,0.33
209,WALM043,Baytown,Fashion accessories,$30.37,3,28/03/19,13:41:00,Ewallet,5.1,0.48
210,WALM003,San Antonio,Electronic accessories,$99.73,9,02/03/19,19:42:00,Credit card,6.5,0.48
211,WALM050,Victoria,Electronic accessories,$26.23,9,25/01/19,20:24:00,Ewallet,5.9,0.48
212,WALM057,Euless,Food and beverages,$93.26,9,16/01/19,18:08:00,Cash,8.8,0.33
213,WALM088,Cleburne,Home and lifestyle,$92.36,5,20/03/19,19:17:00,Ewallet,4.9,0.33
214,WALM093,Angleton,Sports and travel,$46.42,3,04/01/19,13:24:00,Credit card,4.4,0.33
215,WALM065,Texas City,Sports and travel,$29.61,7,11/03/19,15:53:00,Cash,6.5,0.33
216,WALM072,Lancaster,Home and lifestyle,$18.28,1,22/03/19,15:05:00,Credit card,8.3,0.33
217,WALM038,Sugar Land,Sports and travel,$24.77,5,24/03/19,18:27:00,Cash,8.5,0.48
218,WALM081,Friendswood,Electronic accessories,$94.64,3,21/02/19,16:55:00,Cash,5.5,0.33
219,WALM043,Baytown,Fashion accessories,$94.87,8,12/02/19,12:58:00,Ewallet,8.7,0.48
220,WALM044,Pharr,Food and beverages,$57.34,3,10/03/19,18:59:00,Credit card,7.9,0.48
221,WALM002,Dallas,Electronic accessories,$45.35,6,31/01/19,13:44:00,Ewallet,6.1,0.36
222,WALM056,Rowlett,Food and beverages,$62.08,7,06/03/19,13:46:00,Ewallet,5.4,0.33
223,WALM020,Killeen,Electronic accessories,$11.81,5,17/02/19,18:06:00,Cash,9.4,0.48
224,WALM026,Denton,Fashion accessories,$12.54,1,21/02/19,12:38:00,Cash,8.2,0.48
225,WALM003,San Antonio,Food and beverages,$43.25,2,20/03/19,15:56:00,Cash,6.2,0.48
226,WALM067,Haltom City,Sports and travel,$87.16,2,11/01/19,14:29:00,Credit card,9.7,0.33
227,WALM059,Pflugerville,Health and beauty,$69.37,9,26/01/19,19:14:00,Ewallet,4,0.33
228,WALM068,Burleson,Electronic accessories,$37.06,4,31/01/19,16:24:00,Ewallet,9.7,0.33
229,WALM049,North Richland Hills,Electronic accessories,$90.7,6,26/02/19,10:52:00,Cash,5.3,0.48
230,WALM087,Waxahachie,Home and lifestyle,$63.42,8,11/03/19,12:55:00,Ewallet,7.4,0.33
231,WALM007,Arlington,Fashion accessories,$81.37,2,26/01/19,19:28:00,Cash,6.5,0.48
232,WALM024,Carrollton,Electronic accessories,$10.59,3,12/03/19,13:52:00,Credit card,8.7,0.48
233,WALM059,Pflugerville,Health and beauty,$84.09,9,11/02/19,10:54:00,Cash,8,0.33
234,WALM045,Missouri City,Fashion accessories,$73.82,4,21/02/19,18:31:00,Credit card,6.7,0.48
235,WALM069,Rockwall,Health and beauty,$51.94,10,09/03/19,18:24:00,Ewallet,6.5,0.33
236,WALM084,Schertz,Sports and travel,$93.14,2,20/01/19,18:09:00,Ewallet,4.1,0.33
237,WALM068,Burleson,Health and beauty,$17.41,5,28/01/19,15:16:00,Credit card,4.9,0.33
238,WALM023,Midland,Fashion accessories,$44.22,5,05/03/19,17:07:00,Credit card,8.6,0.48
239,WALM040,Edinburg,Electronic accessories,$13.22,5,02/03/19,19:26:00,Cash,4.3,0.48
240,WALM085,Kerrville,Fashion accessories,$89.69,1,11/01/19,11:20:00,Ewallet,4.9,0.33
241,WALM009,Plano,Food and beverages,$24.94,9,11/01/19,16:49:00,Credit card,5.6,0.48
242,WALM100,Canyon,Health and beauty,$59.77,2,11/03/19,12:01:00,Credit card,5.8,0.18
243,WALM077,Coppell,Fashion accessories,$93.2,2,28/02/19,18:37:00,Credit card,6,0.33
244,WALM034,College Station,Home and lifestyle,$62.65,4,05/01/19,11:25:00,Cash,4.2,0.48
245,WALM070,Hurst,Home and lifestyle,$93.87,8,02/02/19,18:42:00,Credit card,8.3,0.33
246,WALM021,McAllen,Home and lifestyle,$47.59,8,01/01/19,14:47:00,Cash,5.7,0.48
247,WALM044,Pharr,Electronic accessories,$81.4,3,09/02/19,19:43:00,Cash,4.8,0.48
248,WALM055,Waxahachie,Fashion accessories,$17.94,5,23/01/19,14:04:00,Ewallet,6.8,0.33
249,WALM019,Pasadena,Electronic accessories,$77.72,4,07/01/19,16:11:00,Credit card,8.8,0.48
250,WALM026,Denton,Food and beverages,$73.06,7,14/01/19,19:06:00,Credit card,4.2,0.48
251,WALM033,Pearland,Food and beverages,$46.55,9,02/02/19,15:34:00,Ewallet,6.4,0.48
252,WALM078,Del Rio,Fashion accessories,$35.19,10,17/03/19,19:06:00,Credit card,8.4,0.33
253,WALM066,Grapevine,Sports and travel,$14.39,2,02/03/19,19:44:00,Credit card,7.2,0.33
254,WALM011,Lubbock,Home and lifestyle,$23.75,4,16/03/19,11:22:00,Cash,5.2,0.48
255,WALM016,Brownsville,Home and lifestyle,$58.9,8,06/01/19,11:23:00,Cash,8.9,0.48
256,WALM048,Harlingen,Fashion accessories,$32.62,4,29/01/19,14:12:00,Cash,9,0.48
257,WALM067,Haltom City,Electronic accessories,$66.35,1,31/01/19,10:46:00,Credit card,9.7,0.33
258,WALM049,North Richland Hills,Home and lifestyle,$25.91,6,05/02/19,10:16:00,Ewallet,8.7,0.48
259,WALM029,Round Rock,Electronic accessories,$32.25,4,13/02/19,12:38:00,Ewallet,6.5,0.48
260,WALM100,Canyon,Electronic accessories,$65.94,4,07/02/19,13:05:00,Credit card,6.9,0.18
261,WALM074,Weslaco,Electronic accessories,$75.06,9,19/03/19,13:25:00,Cash,6.2,0.33
262,WALM019,Pasadena,Fashion accessories,$16.45,4,07/03/19,14:53:00,Ewallet,5.6,0.48
263,WALM022,Mesquite,Fashion accessories,$38.3,4,13/03/19,19:22:00,Cash,5.7,0.48
264,WALM099,Weatherford,Sports and travel,$22.24,10,09/02/19,11:00:00,Cash,4.2,0.18
265,WALM095,Big Spring,Sports and travel,$54.45,1,26/02/19,19:24:00,Ewallet,7.9,0.33
266,WALM075,San Marcos,Sports and travel,$98.4,7,12/03/19,12:43:00,Credit card,8.7,0.33
267,WALM072,Lancaster,Home and lifestyle,$35.47,4,14/03/19,17:22:00,Credit card,6.9,0.33
